,Name,Price,Discount,Tags,Platforms
65,DragonFangZ - The Rose & Dungeon of Time,"R$ 47,49",0,"['RPG', 'Indie', 'Rogue-like', 'Anime']","['win', 'mac']"
66,Cyberdimension Neptunia: 4 Goddesses Online | 四女神オンライン CYBER DIMENSION NEPTUNE | 四女神ONLINE 幻次元遊戲戰機少女,"R$ 52,84",-30%,"['RPG', 'Anime', 'JRPG', 'Hack', 'and', 'Slash']",['win']
67,CHRONO TRIGGER®,"R$ 49,99",0,"['RPG', 'JRPG', 'Classic', 'Great', 'Soundtrack']",['win']
68,Worshippers,"R$ 18,62",-10%,"['RPG', 'Strategy', 'Turn-Based', 'Strategy', 'Board', 'Game']",['win']
69,Into the Breach,"R$ 28,99",0,"['Strategy', 'Indie', 'Turn-Based', 'Strategy', 'Mechs']",['win']
70,SoulWorker,Free to Play,0,"['Free', 'to', 'Play', 'Anime', 'Massively', 'Multiplayer', 'Action']",['win']
71,The Great Tournament 2,"R$ 6,51",-25%,"['Adventure', 'RPG', 'Indie', 'Text-Based']","['win', 'mac', 'linux']"
72,BYTEPATH,"R$ 4,49",0,"['Casual', 'Action', 'Indie', 'RPG']","['win', 'linux']"
73,Sword Art Online: Fatal Bullet,"R$ 159,90",0,"['Anime', 'RPG', 'Action', 'Character', 'Customization']",['win']
74,Exiled Kingdoms,"R$ 14,10",-15%,"['RPG', 'Adventure', 'Indie', 'Action']","['win', 'mac', 'linux']"
75,Space Bob vs. The Replicons,"R$ 18,62",-10%,"['Early', 'Access', 'Casual', 'Action', 'Adventure']",['win']
76,Earthworms,"R$ 9,59",-20%,"['Adventure', 'Indie', 'Casual', 'Great', 'Soundtrack']",['win']
77,Tale of Toast,Free To Play,0,"['Early', 'Access', 'Free', 'to', 'Play', 'RPG', 'Multiplayer']","['win', 'mac', 'linux']"
78,All Walls Must Fall - A Tech-Noir Tactics Game,"R$ 13,92",-30%,"['Indie', 'RPG', 'Cyberpunk', 'Violent']","['win', 'mac', 'linux']"
79,Fallen ~Makina and the City of Ruins~,"R$ 19,42",-33%,"['Sexual', 'Content', 'Nudity', 'RPG', 'Anime']",['win']
80,PLATI NALOG: Favorite Russian Game,"R$ 1,55",-32%,"['Strategy', 'RPG', 'Indie', 'Casual']",['win']
81,Blocked and Loaded,"R$ 2,29",0,"['Massively', 'Multiplayer', 'Indie', 'Action', 'Adventure']",['win']
82,Where the Water Tastes Like Wine,"R$ 31,44",-15%,"['Indie', 'Adventure', 'RPG', 'Great', 'Soundtrack']","['win', 'mac', 'linux']"
83,Elium - Prison Escape,"R$ 25,10",-10%,"['Indie', 'Violent', 'RPG', 'Action']",['win']
84,众生,"R$ 28,99",0,"['Early', 'Access', 'Strategy', 'RPG', 'Indie']",['win']
85,DragonFangZ - The Rose & Dungeon of Time,"R$ 47,49",0,"['RPG', 'Indie', 'Rogue-like', 'Anime']","['win', 'mac']"
86,Cyberdimension Neptunia: 4 Goddesses Online | 四女神オンライン CYBER DIMENSION NEPTUNE | 四女神ONLINE 幻次元遊戲戰機少女,"R$ 52,84",-30%,"['RPG', 'Anime', 'JRPG', 'Hack', 'and', 'Slash']",['win']
87,CHRONO TRIGGER®,"R$ 49,99",0,"['RPG', 'JRPG', 'Classic', 'Great', 'Soundtrack']",['win']
88,Worshippers,"R$ 18,62",-10%,"['RPG', 'Strategy', 'Turn-Based', 'Strategy', 'Board', 'Game']",['win']
89,Into the Breach,"R$ 28,99",0,"['Strategy', 'Indie', 'Turn-Based', 'Strategy', 'Mechs']",['win']
90,SoulWorker,Free to Play,0,"['Free', 'to', 'Play', 'Anime', 'Massively', 'Multiplayer', 'Action']",['win']
91,The Great Tournament 2,"R$ 6,51",-25%,"['Adventure', 'RPG', 'Indie', 'Text-Based']","['win', 'mac', 'linux']"
92,BYTEPATH,"R$ 4,49",0,"['Casual', 'Action', 'Indie', 'RPG']","['win', 'linux']"
93,Sword Art Online: Fatal Bullet,"R$ 159,90",0,"['Anime', 'RPG', 'Action', 'Character', 'Customization']",['win']
94,Exiled Kingdoms,"R$ 14,10",-15%,"['RPG', 'Adventure', 'Indie', 'Action']","['win', 'mac', 'linux']"
95,Space Bob vs. The Replicons,"R$ 18,62",-10%,"['Early', 'Access', 'Casual', 'Action', 'Adventure']",['win']
96,Earthworms,"R$ 9,59",-20%,"['Adventure', 'Indie', 'Casual', 'Great', 'Soundtrack']",['win']
97,Tale of Toast,Free To Play,0,"['Early', 'Access', 'Free', 'to', 'Play', 'RPG', 'Multiplayer']","['win', 'mac', 'linux']"
98,All Walls Must Fall - A Tech-Noir Tactics Game,"R$ 13,92",-30%,"['Indie', 'RPG', 'Cyberpunk', 'Violent']","['win', 'mac', 'linux']"
99,Fallen ~Makina and the City of Ruins~,"R$ 19,42",-33%,"['Sexual', 'Content', 'Nudity', 'RPG', 'Anime']",['win']
100,PLATI NALOG: Favorite Russian Game,"R$ 1,55",-32%,"['Strategy', 'RPG', 'Indie', 'Casual']",['win']
101,Blocked and Loaded,"R$ 2,29",0,"['Massively', 'Multiplayer', 'Indie', 'Action', 'Adventure']",['win']
102,Where the Water Tastes Like Wine,"R$ 31,44",-15%,"['Indie', 'Adventure', 'RPG', 'Great', 'Soundtrack']","['win', 'mac', 'linux']"
103,Elium - Prison Escape,"R$ 25,10",-10%,"['Indie', 'Violent', 'RPG', 'Action']",['win']
104,众生,"R$ 28,99",0,"['Early', 'Access', 'Strategy', 'RPG', 'Indie']",['win']
105,DragonFangZ - The Rose & Dungeon of Time,"R$ 47,49",0,"['RPG', 'Indie', 'Rogue-like', 'Anime']","['win', 'mac']"
106,Cyberdimension Neptunia: 4 Goddesses Online | 四女神オンライン CYBER DIMENSION NEPTUNE | 四女神ONLINE 幻次元遊戲戰機少女,"R$ 52,84",-30%,"['RPG', 'Anime', 'JRPG', 'Hack', 'and', 'Slash']",['win']
107,CHRONO TRIGGER®,"R$ 49,99",0,"['RPG', 'JRPG', 'Classic', 'Great', 'Soundtrack']",['win']
108,Worshippers,"R$ 18,62",-10%,"['RPG', 'Strategy', 'Turn-Based', 'Strategy', 'Board', 'Game']",['win']
109,Into the Breach,"R$ 28,99",0,"['Strategy', 'Indie', 'Turn-Based', 'Strategy', 'Mechs']",['win']
110,SoulWorker,Free to Play,0,"['Free', 'to', 'Play', 'Anime', 'Massively', 'Multiplayer', 'Action']",['win']
111,The Great Tournament 2,"R$ 6,51",-25%,"['Adventure', 'RPG', 'Indie', 'Text-Based']","['win', 'mac', 'linux']"
112,BYTEPATH,"R$ 4,49",0,"['Casual', 'Action', 'Indie', 'RPG']","['win', 'linux']"
113,Sword Art Online: Fatal Bullet,"R$ 159,90",0,"['Anime', 'RPG', 'Action', 'Character', 'Customization']",['win']
114,Exiled Kingdoms,"R$ 14,10",-15%,"['RPG', 'Adventure', 'Indie', 'Action']","['win', 'mac', 'linux']"
115,Space Bob vs. The Replicons,"R$ 18,62",-10%,"['Early', 'Access', 'Casual', 'Action', 'Adventure']",['win']
116,Earthworms,"R$ 9,59",-20%,"['Adventure', 'Indie', 'Casual', 'Great', 'Soundtrack']",['win']
117,Tale of Toast,Free To Play,0,"['Early', 'Access', 'Free', 'to', 'Play', 'RPG', 'Multiplayer']","['win', 'mac', 'linux']"
118,All Walls Must Fall - A Tech-Noir Tactics Game,"R$ 13,92",-30%,"['Indie', 'RPG', 'Cyberpunk', 'Violent']","['win', 'mac', 'linux']"
119,Fallen ~Makina and the City of Ruins~,"R$ 19,42",-33%,"['Sexual', 'Content', 'Nudity', 'RPG', 'Anime']",['win']
120,PLATI NALOG: Favorite Russian Game,"R$ 1,55",-32%,"['Strategy', 'RPG', 'Indie', 'Casual']",['win']
121,Blocked and Loaded,"R$ 2,29",0,"['Massively', 'Multiplayer', 'Indie', 'Action', 'Adventure']",['win']
122,Where the Water Tastes Like Wine,"R$ 31,44",-15%,"['Indie', 'Adventure', 'RPG', 'Great', 'Soundtrack']","['win', 'mac', 'linux']"
123,Elium - Prison Escape,"R$ 25,10",-10%,"['Indie', 'Violent', 'RPG', 'Action']",['win']
124,众生,"R$ 28,99",0,"['Early', 'Access', 'Strategy', 'RPG', 'Indie']",['win']
125,DragonFangZ - The Rose & Dungeon of Time,"R$ 47,49",0,"['RPG', 'Indie', 'Rogue-like', 'Anime']","['win', 'mac']"
126,Cyberdimension Neptunia: 4 Goddesses Online | 四女神オンライン CYBER DIMENSION NEPTUNE | 四女神ONLINE 幻次元遊戲戰機少女,"R$ 52,84",-30%,"['RPG', 'Anime', 'JRPG', 'Hack', 'and', 'Slash']",['win']
127,CHRONO TRIGGER®,"R$ 49,99",0,"['RPG', 'JRPG', 'Classic', 'Great', 'Soundtrack']",['win']
128,Worshippers,"R$ 18,62",-10%,"['RPG', 'Strategy', 'Turn-Based', 'Strategy', 'Board', 'Game']",['win']
129,Into the Breach,"R$ 28,99",0,"['Strategy', 'Indie', 'Turn-Based', 'Strategy', 'Mechs']",['win']
130,SoulWorker,Free to Play,0,"['Free', 'to', 'Play', 'Anime', 'Massively', 'Multiplayer', 'Action']",['win']
131,The Great Tournament 2,"R$ 6,51",-25%,"['Adventure', 'RPG', 'Indie', 'Text-Based']","['win', 'mac', 'linux']"
132,BYTEPATH,"R$ 4,49",0,"['Casual', 'Action', 'Indie', 'RPG']","['win', 'linux']"
133,Sword Art Online: Fatal Bullet,"R$ 159,90",0,"['Anime', 'RPG', 'Action', 'Character', 'Customization']",['win']
134,Exiled Kingdoms,"R$ 14,10",-15%,"['RPG', 'Adventure', 'Indie', 'Action']","['win', 'mac', 'linux']"
135,Space Bob vs. The Replicons,"R$ 18,62",-10%,"['Early', 'Access', 'Casual', 'Action', 'Adventure']",['win']
136,Earthworms,"R$ 9,59",-20%,"['Adventure', 'Indie', 'Casual', 'Great', 'Soundtrack']",['win']
137,Tale of Toast,Free To Play,0,"['Early', 'Access', 'Free', 'to', 'Play', 'RPG', 'Multiplayer']","['win', 'mac', 'linux']"
138,All Walls Must Fall - A Tech-Noir Tactics Game,"R$ 13,92",-30%,"['Indie', 'RPG', 'Cyberpunk', 'Violent']","['win', 'mac', 'linux']"
139,Fallen ~Makina and the City of Ruins~,"R$ 19,42",-33%,"['Sexual', 'Content', 'Nudity', 'RPG', 'Anime']",['win']
140,PLATI NALOG: Favorite Russian Game,"R$ 1,55",-32%,"['Strategy', 'RPG', 'Indie', 'Casual']",['win']
141,Blocked and Loaded,"R$ 2,29",0,"['Massively', 'Multiplayer', 'Indie', 'Action', 'Adventure']",['win']
142,Where the Water Tastes Like Wine,"R$ 31,44",-15%,"['Indie', 'Adventure', 'RPG', 'Great', 'Soundtrack']","['win', 'mac', 'linux']"
143,Elium - Prison Escape,"R$ 25,10",-10%,"['Indie', 'Violent', 'RPG', 'Action']",['win']
144,众生,"R$ 28,99",0,"['Early', 'Access', 'Strategy', 'RPG', 'Indie']",['win']
145,DragonFangZ - The Rose & Dungeon of Time,"R$ 47,49",0,"['RPG', 'Indie', 'Rogue-like', 'Anime']","['win', 'mac']"
146,Cyberdimension Neptunia: 4 Goddesses Online | 四女神オンライン CYBER DIMENSION NEPTUNE | 四女神ONLINE 幻次元遊戲戰機少女,"R$ 52,84",-30%,"['RPG', 'Anime', 'JRPG', 'Hack', 'and', 'Slash']",['win']
147,CHRONO TRIGGER®,"R$ 49,99",0,"['RPG', 'JRPG', 'Classic', 'Great', 'Soundtrack']",['win']
148,Worshippers,"R$ 18,62",-10%,"['RPG', 'Strategy', 'Turn-Based', 'Strategy', 'Board', 'Game']",['win']
149,Into the Breach,"R$ 28,99",0,"['Strategy', 'Indie', 'Turn-Based', 'Strategy', 'Mechs']",['win']
150,SoulWorker,Free to Play,0,"['Free', 'to', 'Play', 'Anime', 'Massively', 'Multiplayer', 'Action']",['win']
151,The Great Tournament 2,"R$ 6,51",-25%,"['Adventure', 'RPG', 'Indie', 'Text-Based']","['win', 'mac', 'linux']"
152,BYTEPATH,"R$ 4,49",0,"['Casual', 'Action', 'Indie', 'RPG']","['win', 'linux']"
153,Sword Art Online: Fatal Bullet,"R$ 159,90",0,"['Anime', 'RPG', 'Action', 'Character', 'Customization']",['win']
154,Exiled Kingdoms,"R$ 14,10",-15%,"['RPG', 'Adventure', 'Indie', 'Action']","['win', 'mac', 'linux']"
155,Space Bob vs. The Replicons,"R$ 18,62",-10%,"['Early', 'Access', 'Casual', 'Action', 'Adventure']",['win']
156,Earthworms,"R$ 9,59",-20%,"['Adventure', 'Indie', 'Casual', 'Great', 'Soundtrack']",['win']
157,Tale of Toast,Free To Play,0,"['Early', 'Access', 'Free', 'to', 'Play', 'RPG', 'Multiplayer']","['win', 'mac', 'linux']"
158,All Walls Must Fall - A Tech-Noir Tactics Game,"R$ 13,92",-30%,"['Indie', 'RPG', 'Cyberpunk', 'Violent']","['win', 'mac', 'linux']"
159,Fallen ~Makina and the City of Ruins~,"R$ 19,42",-33%,"['Sexual', 'Content', 'Nudity', 'RPG', 'Anime']",['win']
160,PLATI NALOG: Favorite Russian Game,"R$ 1,55",-32%,"['Strategy', 'RPG', 'Indie', 'Casual']",['win']
161,Blocked and Loaded,"R$ 2,29",0,"['Massively', 'Multiplayer', 'Indie', 'Action', 'Adventure']",['win']
162,Where the Water Tastes Like Wine,"R$ 31,44",-15%,"['Indie', 'Adventure', 'RPG', 'Great', 'Soundtrack']","['win', 'mac', 'linux']"
163,Elium - Prison Escape,"R$ 25,10",-10%,"['Indie', 'Violent', 'RPG', 'Action']",['win']
164,众生,"R$ 28,99",0,"['Early', 'Access', 'Strategy', 'RPG', 'Indie']",['win']
165,DragonFangZ - The Rose & Dungeon of Time,"R$ 47,49",0,"['RPG', 'Indie', 'Rogue-like', 'Anime']","['win', 'mac']"
166,Cyberdimension Neptunia: 4 Goddesses Online | 四女神オンライン CYBER DIMENSION NEPTUNE | 四女神ONLINE 幻次元遊戲戰機少女,"R$ 52,84",-30%,"['RPG', 'Anime', 'JRPG', 'Hack', 'and', 'Slash']",['win']
